,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
620,C122201,C122201-20110627-15628-01-001,250000,70250000.0,760000,19,-280.0,1
621,C122206,C122206-20120920-19743-01-001,320202,1430173.0,1200000,30,-3.4664711650770452,1
622,C122215,C122215-20130228-10889-01-001,532042,592008.0,3700000,37,-0.11270914702222756,1
623,C122280,C122280-20130304-16168-01-001,1212695,1512695.0,1440000,36,-0.2473828951220216,1
624,C122284,C122284-20100423-13151-01-001,267993,667993.0,40000,1,-1.4925762986346658,1
625,C122319,C122319-20130108-10359-01-001,908302,1352507.0,1520000,38,-0.48904989750105143,1
626,C122322,C122322-20130208-11459-01-001,573200,583200.0,1560000,39,-0.017445917655268667,1
627,C122359,C122359-20130715-20174-01-001,1301200,1961200.0,1680000,42,-0.507224100830003,1
628,C122423,C122423-20110328-13166-01-001,7200,207200.0,2420000,11,-27.77777777777778,1
629,C122432,C122432-20131021-14027-01-001,3971620,14201620.0,1680000,42,-2.575775124508387,1
630,C122454,C122454-20110520-13756-01-001,32300,332300.0,1980000,9,-9.287925696594428,1
631,C122484,C122484-20121127-10816-01-001,648705,748704.0,5940000,27,-0.1541517330681897,1
632,C122495,C122495-20131014-14695-01-001,966208,1026208.0,1520000,38,-0.062098430151685764,1
633,C122497,C122497-20120131-21134-01-001,86238,346238.0,640000,16,-3.014912219671143,1
634,C122579,C122579-20130328-10137-01-001,326800,476800.0,3700000,37,-0.4589963280293758,1
635,C122601,C122601-20120723-11139-01-001,145400,245400.0,1200000,30,-0.687757909215956,1
636,C122607,C122607-20131002-11582-01-001,3347633,13402484.0,1880000,47,-3.0035702838393576,1
637,C122629,C122629-20121122-19619-01-001,42270,662270.0,14400000,36,-14.667612964277264,1
638,C122653,C122653-20111215-19540-01-001,173600,433600.0,3000000,15,-1.4976958525345623,1
639,C122671,C122671-20100623-12062-01-001,251900,451900.0,600000,6,-0.7939658594680429,1
640,C122704,C122704-20100329-16729-01-001,3656725,4266358.0,80000,2,-0.16671557199406573,1
641,C122918,C122918-20101011-19544-01-001,1694332,2264332.0,1440000,12,-0.3364157673938756,1
642,C122932,C122932-20110314-11940-01-001,532670,832670.0,1320000,11,-0.5632004805977434,1
643,C123060,C123060-20120113-16842-01-001,1832551,2202551.0,1920000,16,-0.20190433990650192,1
644,C123079,C123079-20130313-15838-01-001,2252558,2553183.0,6000000,30,-0.1334593826218903,1
645,C123137,C123137-20130618-19952-01-001,288060,488060.0,10200000,34,-0.6942997986530584,1
646,C123179,C123179-20130103-18904-01-001,3157018,3776614.0,2720000,34,-0.19625988828698473,1
